title,year,certificate,duration,genre,rating,votes
"Roswell, New Mexico",(2019–2022),TV-14,45 min,"Drama, Romance, Sci-Fi",6.199999809265137,"12,827"
Taxi Driver,(1976),R,114 min,"Crime, Drama",8.199999809265137,"819,599"
Teen Wolf,(2011–2017),TV-14,41 min,"Action, Drama, Fantasy",7.699999809265137,"146,991"
Vikings: Valhalla,(2022– ),TV-MA,51 min,"Action, Adventure, Drama",7.199999809265137,"37,571"
New Amsterdam,(2018– ),TV-14,43 min,Drama,8.0,"37,212"
Léon: The Professional,(1994),R,110 min,"Action, Crime, Drama",8.5,"1,147,345"
Arrow,(2012–2020),TV-14,42 min,"Action, Adventure, Crime",7.5,"429,943"
The Good Nurse,(2022),R,121 min,"Biography, Crime, Drama",7.800000190734863,116
The Good Place,(2016–2020),TV-PG,22 min,"Comedy, Drama, Fantasy",8.199999809265137,"156,760"
Agents of S.H.I.E.L.D.,(2013–2020),TV-PG,45 min,"Action, Adventure, Drama",7.5,"216,461"
Mother!,(2017),R,121 min,"Drama, Horror, Mystery",6.599999904632568,"224,398"
Hustle,(2022),R,117 min,"Comedy, Drama, Sport",7.300000190734863,"110,391"
Terim,(2022– ),TV-14,,"Documentary, Biography, Sport",7.0,"4,279"
365 Days: This Day,(2022),TV-MA,111 min,"Drama, Romance",2.5999999046325684,"19,357"
Cheers,(1982–1993),TV-PG,22 min,"Comedy, Drama",7.900000095367432,"54,765"
Line of Duty,(2012–2021),TV-14,60 min,"Crime, Drama, Mystery",8.699999809265137,"58,387"
Pieces of Her,(2022– ),TV-MA,52 min,"Crime, Drama, Mystery",6.300000190734863,"25,208"
The Departed,(2006),R,151 min,"Crime, Drama, Thriller",8.5,"1,310,171"
Star Wars: The Clone Wars,(2008–2020),TV-PG,23 min,"Animation, Action, Adventure",8.399999618530273,"94,334"
Star Trek: Deep Space Nine,(1993–1999),TV-PG,45 min,"Action, Adventure, Drama",8.100000381469727,"62,898"
Spider-Man,(2002),PG-13,121 min,"Action, Adventure, Sci-Fi",7.400000095367432,"809,904"
Santo,(2022– ),TV-MA,45 min,"Action, Crime, Drama",5.0,417
Delhi Crime,(2019– ),TV-MA,50 min,"Crime, Drama",8.5,"22,337"
JoJo's Bizarre Adventure,(2012– ),TV-14,30 min,"Animation, Action, Adventure",8.399999618530273,"22,677"
House of Cards,(2013–2018),TV-MA,51 min,Drama,8.699999809265137,"500,982"
American Crime Story,(2016– ),TV-MA,42 min,"Biography, Crime, Drama",8.399999618530273,"95,054"
Beauty and the Beast,(I) (2017),PG,129 min,"Adventure, Family, Fantasy",7.099999904632568,"306,985"
Dynasty,(2017–2022),TV-14,42 min,Drama,7.199999809265137,"22,045"
Glee,(2009–2015),TV-PG,44 min,"Comedy, Drama, Music",6.800000190734863,"147,910"
Brooklyn,(2015),PG-13,117 min,"Drama, Romance",7.5,"142,184"
The Americans,(2013–2018),TV-MA,44 min,"Crime, Drama, Mystery",8.399999618530273,"98,875"
Gotham,(2014–2019),TV-14,42 min,"Action, Crime, Drama",7.800000190734863,"229,301"
Gossip Girl,(2007–2012),TV-14,42 min,"Drama, Romance",7.5,"173,318"
Gone Girl,(2014),R,149 min,"Drama, Mystery, Thriller",8.100000381469727,"971,322"
The Tudors,(2007–2010),TV-MA,60 min,"Drama, History, Romance",8.100000381469727,"74,863"
Twin Peaks,(1990–1991),TV-MA,47 min,"Crime, Drama, Mystery",8.800000190734863,"196,192"
The Poison Rose,(2019),R,98 min,"Crime, Mystery, Thriller",4.699999809265137,"9,475"
