show_title,rating,votes,total_hours,total_views,weeks_in_top10,average_weekly_views_12m,average_weekly_views_4w,momentum_ratio,proven_demand_score,reliable_demand,demand_pattern,metadata_match_note,original_uk_audience,google_trends_average_12m,google_trends_average_4w,rights_status,current_platform,production_status,confirmed_release_date,estimated_viewers_low,estimated_viewers_base,estimated_viewers_high,projected_value_base_gbp,licence_cost_gbp,benefit_cost_ratio,projected_roi,break_even_viewers,recommendation
Emily in Paris,6.900000095367432,88868,1255500000,121800000.0,23,796153.8461538461,0.0,0.0,87.20547853823112,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4030222.5656156396,6200342.408639445,8680479.372095222,15500856.021598613,,,,,Shortlist for rights and cost research
Alice in Borderland,7.599999904632568,50974,554140000,27800000.0,16,511538.46153846156,0.0,0.0,86.68772785473833,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4009188.9440987445,6167982.990921145,8635176.187289603,15419957.477302864,,,,,Shortlist for rights and cost research
Manifest,7.099999904632568,59167,1320520000,2800000.0,29,0.0,0.0,,86.65892215678173,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4008018.712619258,6166182.634798858,8632655.6887184,15415456.586997146,,,,,Shortlist for rights and cost research
The Last Kingdom,8.5,136939,189570000,,5,0.0,0.0,,86.4828185355907,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,4000864.503008372,6155176.158474418,8617246.621864185,15387940.396186046,,,,,Shortlist for rights and cost research
Ginny & Georgia,7.400000095367432,48057,1556880000,75100000.0,13,0.0,0.0,,86.28302129444532,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3992747.7400868414,6142688.830902833,8599764.363263965,15356722.077257082,,,,,Shortlist for rights and cost research
Virgin River,7.400000095367432,41276,1310710000,82900000.0,28,407692.3076923077,0.0,0.0,86.24450121230744,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3991182.86174999,6140281.325769215,8596393.8560769,15350703.314423038,,,,,Shortlist for rights and cost research
Formula 1: Drive to Survive,8.600000381469727,39632,235620000,18200000.0,10,109615.38461538461,0.0,0.0,86.20850069207644,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3989720.340615605,6138031.293254777,8593243.810556687,15345078.233136943,,,,,Shortlist for rights and cost research
Sweet Tooth,7.800000190734863,51170,345750000,16300000.0,10,0.0,0.0,,85.73787877263825,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3970601.3251384296,6108617.423289891,8552064.392605847,15271543.558224728,,,,,Shortlist for rights and cost research
All of Us Are Dead,7.5,47580,659510000,,11,0.0,0.0,,85.70481339479315,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3969258.044163472,6106550.837174572,8549171.1720444,15266377.09293643,,,,,Shortlist for rights and cost research
Extraordinary Attorney Woo,8.899999618530273,9538,662090000,,21,0.0,0.0,,85.46247390549102,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3959413.002410573,6091404.619093189,8527966.466730464,15228511.547732972,,,,,Shortlist for rights and cost research
Locke & Key,7.300000190734863,84847,293010000,,8,0.0,0.0,,84.91644968836077,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3937230.7685896563,6057278.105522548,8480189.347731566,15143195.26380637,,,,,Shortlist for rights and cost research
The Good Doctor,8.100000381469727,92641,157080000,3400000.0,7,65384.61538461538,0.0,0.0,84.82208647016056,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3933397.262850273,6051380.404385035,8471932.566139048,15128451.010962587,,,,,Shortlist for rights and cost research
Demon Slayer: Kimetsu no Yaiba,8.699999809265137,97968,89900000,27100000.0,15,0.0,0.0,,84.73050819443478,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3929676.895398913,6045656.762152174,8463919.467013042,15114141.905380433,,,,,Shortlist for rights and cost research
Inventing Anna,6.800000190734863,65185,654560000,,10,0.0,0.0,,84.61348008799314,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3924922.628574721,6038342.505499571,8453679.507699398,15095856.263748927,,,,,Shortlist for rights and cost research
Vikings: Valhalla,7.199999809265137,37571,612960000,22600000.0,14,0.0,0.0,,84.4458185808562,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3918111.3798472835,6027863.661303513,8439009.125824917,15069659.153258782,,,,,Shortlist for rights and cost research
Heartstopper,8.699999809265137,49420,142660000,19000000.0,8,0.0,0.0,,84.39438188590077,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3916021.7641147193,6024648.867868799,8434508.415016318,15061622.169671997,,,,,Shortlist for rights and cost research
Shadow and Bone,7.599999904632568,82657,206160000,,5,0.0,0.0,,83.01686813532822,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3860060.2679977096,5938554.258458015,8313975.96184122,14846385.646145036,,,,,Shortlist for rights and cost research
